Person,431431273409005431,,,,,,,,
Person,807135241152364790,,,,,,,
Publication,,,,,433059317142004049,,1/1/2015,,
Publication,,,,,1424752118349453201,,1/1/2015,,
Publication,,,,,1276636686558050011,,1/1/2014,,
Publication,,,,,74162514104461530,,9/1/2015,,
Publication,,,,,751112542926151316,,4/1/2016,,
Publication,,,,,101445765629754024,,1/1/2015,,
Publication,,,,,921194559383406031,,1/31/2014,,
Publication,,,,,69412506976223094,,9/16/2015,,
Publication,,,,,1027923194305325147,,11/1/2015,,
Publication,,,,,1360216342832720748,,11/1/2015,,
Publication,,,,,1053526992351141984,,1/1/2016,,
Publication,,,,,1422657564129170645,,1/1/2015,,
Publication,,,,,755912946346431056,,11/28/2015,,
Publication,,,,,124521564424714633,,5/22/2015,,
Publication,,,,,540355755919823919,,11/9/2015,,
Publication,,,,,296642360455151450,,6/1/2016,,
Publication,,,,,652015178344640004,,11/1/2015,,
Publication,,,,,1084509764534408099,,12/1/2015,,
Publication,,,,,566120854648480278,,11/1/2015,,
Publication,,,,,1401511045244928712,,12/1/2015,,
Publication,,,,,545775479361505420,,11/25/2015,,
Publication,,,,,66514565581392506,,10/1/2016,,
Publication,,,,,652673871001400133,,12/1/2015,,
Publication,,,,,1034254748955605925,,12/1/2015,,
Publication,,,,,128760121384523067,,2/16/2016,,
Publication,,,,,320561600448959836,,1/1/2016,,
Publication,,,,,75354330660169494,,1/1/2016,,
Publication,,,,,1219213246496348340,,12/9/2015,,
Publication,,,,,915116034344401063,,2/1/2015,,
Publication,,,,,891350465892457052,,1/1/2015,,
Publication,,,,,1421224018343170737,,3/1/2013,,
Publication,,,,,115374727346455040,,12/1/2015,,
Publication,,,,,522361883531542657,,3/1/2016,,
Publication,,,,,1561733137351248297,,11/1/2015,,
Publication,,,,,87053958105032626,,2/5/2014,,
Publication,,,,,1317618354576511206,,1/1/2013,,
Publication,,,,,16621348090815965,,6/1/2016,,
Publication,,,,,1644102549430888433,,1/1/2016,,
Publication,,,,,1122643808439843451,,2/1/2017,,
Publication,,,,,1064662710485153319,,5/1/2016,,
Publication,,,,,797651440348403024,,1/1/2015,,
Publication,,,,,340131102003442132,,1/1/2014,,
Publication,,,,,333514417012580039,,1/1/2015,,
Publication,,,,,1355219357977306241,,1/1/2016,,
Publication,,,,,353561718150262531,,1/1/2016,,
Publication,,,,,555117623140762300,,9/1/2015,,
Publication,,,,,735299479062962132,,7/13/2015,,
Publication,,,,,1230856911013541134,,1/1/2016,,
Publication,,,,,727910325351530535,,12/1/2015,,
Publication,,,,,1544551752554689817,,1/1/2015,,
Publication,,,,,84331860402311663,,1/1/2013,,
Publication,,,,,978483192714525165,,5/1/2013,,
Publication,,,,,626418802274110737,,4/1/2013,,
Publication,,,,,432402332673972458,,4/1/2013,,
Publication,,,,,279093077013200911,,6/1/2013,,
Publication,,,,,826878201213431483,,1/1/2015,,
Publication,,,,,28108498470059435,,2/8/2016,,
Publication,,,,,520974446320632490,,3/1/2018,,
Publication,,,,,296036159925636322,,3/24/2016,,
Publication,,,,,132591744942527045,,7/1/2015,,
Publication,,,,,136651434948034327,,5/1/2016,,
Publication,,,,,941530527876311813,,9/28/2014,,
Publication,,,,,582035324342243422,,5/1/2016,,
Publication,,,,,1253315421257116012,,1/19/2016,,
Publication,,,,,1535560814470027553,,8/1/2016,,
Publication,,,,,1215359498258592144,,12/17/2015,,
Publication,,,,,1286042071143303332,,3/1/2016,,
Publication,,,,,620277232309309145,,6/1/2016,,
Publication,,,,,732028193350643521,,6/1/2016,,
Publication,,,,,1027155560434106590,,6/30/2016,,
Publication,,,,,15853342118025035,,4/4/2016,,
Publication,,,,,566342847180046213,,10/1/2017,,
Publication,,,,,38535034861847300,,4/20/2016,,
Publication,,,,,1247792079573004410,,6/1/2016,,
Publication,,,,,41837343332046478,,10/1/2014,,
Publication,,,,,1326181107263420594,,1/1/2016,,
Publication,,,,,1269933711216215341,,4/1/2013,,
Publication,,,,,981551763455274476,,6/1/2016,,
Publication,,,,,424596518604906520,,4/15/2016,,
Publication,,,,,593415305917110191,,4/1/2016,,
Publication,,,,,634905255435316742,,2/16/2015,,
Publication,,,,,1051735225026271053,,12/1/2014,,
Publication,,,,,540666299320433111,,8/1/2017,,
Publication,,,,,897354463819152164,,1/1/2016,,
Publication,,,,,300559162266445330,,7/1/2016,,
Publication,,,,,324320601526213512,,1/29/2016,,
Publication,,,,,1146424422444430564,,1/1/2014,,
Publication,,,,,544756561332936120,,1/1/2016,,
Publication,,,,,276661523149222445,,4/12/2016,,
Publication,,,,,510322540624522555,,4/1/2015,,
Publication,,,,,1555084561331967190,,4/22/2016,,
Publication,,,,,323036285508153873,,5/18/2016,,
Publication,,,,,1267863670835041211,,6/1/2013,,
Publication,,,,,1463435277063006954,,7/1/2013,,
Publication,,,,,1207612033585320625,,7/1/2013,,
Publication,,,,,1124565731342314371,,5/23/2013,,
Publication,,,,,558962704213045544,,6/1/2013,,
Publication,,,,,912695833362213924,,6/1/2013,,
Publication,,,,,712474356002122153,,1/1/2013,,
Publication,,,,,1334214111540859163,,7/1/2016,,
Publication,,,,,331735994434800925,,6/1/2016,,
Publication,,,,,858262335933313692,,5/1/2016,,
Publication,,,,,554513190799329696,,6/1/2016,,
Publication,,,,,1102378495910624443,,7/28/2016,,
Publication,,,,,1453261312384284172,,5/10/2016,,
Publication,,,,,1597414503844938259,,5/10/2016,,
Publication,,,,,1144095270283842146,,2/28/2015,,
Publication,,,,,978864942623741849,,5/1/2016,,
Publication,,,,,82551829332696614,,1/1/2014,,
Publication,,,,,1531024225366854563,,5/1/2017,,
Publication,,,,,615531502923403512,,9/1/2016,,
Publication,,,,,662671929074433515,,2/26/2016,,
Publication,,,,,957706043371068181,,5/11/2016,,
Publication,,,,,1051208485216603900,,10/1/2016,,
Publication,,,,,622293910371914414,,7/6/2015,,
Publication,,,,,844634730962656303,,7/1/2016,,
Publication,,,,,1515209255270962070,,3/8/2013,,
Publication,,,,,229579575720209302,,3/1/2016,,
Publication,,,,,923196041604074400,,7/2/2013,,
Publication,,,,,673204647282205501,,5/23/2016,,
Publication,,,,,947124644365415479,,8/1/2016,,
Publication,,,,,926131011776514941,,6/1/2016,,
Publication,,,,,659568608778419870,,1/1/2015,,
Publication,,,,,1402455464107492303,,9/1/2013,,
Publication,,,,,1305145439855521555,,5/18/2016,,
Publication,,,,,791565595293171896,,1/1/2014,,
Publication,,,,,725925752110536545,,6/16/2016,,
Publication,,,,,230064429220209254,,6/9/2016,,
Publication,,,,,110554364235315017,,6/15/2016,,
Publication,,,,,220252608043203752,,5/19/2016,,
Publication,,,,,475230554944527100,,5/18/2016,,
Publication,,,,,1423844594533263436,,5/1/2016,,
Publication,,,,,338272892395959847,,11/25/2015,,
Publication,,,,,1173645893841362776,,8/1/2016,,
Publication,,,,,336942091506354249,,6/1/2016,,
Publication,,,,,414841826256145623,,10/18/2013,,
Publication,,,,,438004453539456371,,8/1/2016,,
Publication,,,,,905546841562152193,,5/3/2016,,
Publication,,,,,1427551141244109957,,7/1/2016,,
Publication,,,,,509974416353952521,,8/1/2016,,
Publication,,,,,206664732636561987,,11/1/2016,,
Publication,,,,,1154021830691201928,,4/2/2016,,
Publication,,,,,522994490921171118,,7/1/2016,,
Publication,,,,,1554045145834228441,,9/1/2016,,
Publication,,,,,476478857527116646,,9/1/2016,,
Publication,,,,,107035703191252125,,6/13/2016,,
Publication,,,,,1112425426401954009,,8/1/2016,,
Publication,,,,,932040295365333402,,6/5/2016,,
Publication,,,,,735812253525523244,,7/5/2016,,
Publication,,,,,741755020742046144,,6/1/2016,,
Publication,,,,,495618401573230050,,8/2/2016,,
Publication,,,,,26871071512245763,,1/1/2015,,
Publication,,,,,1550753345748142835,,1/1/2017,,
Publication,,,,,1053667642558045223,,7/1/2016,,
Publication,,,,,732672612144374614,,1/1/2016,,
Publication,,,,,922153502532596320,,7/1/2016,,
Publication,,,,,535484915075425305,,7/1/2013,,
Publication,,,,,401913429429144725,,4/1/2013,,
Publication,,,,,932456122372554648,,6/21/2013,,
Publication,,,,,1389722097262599016,,1/1/2013,,
Publication,,,,,1554375955417974171,,7/1/2013,,
Publication,,,,,1338720684336648126,,7/13/2016,,
Publication,,,,,547657189613695256,,4/2/2016,,
Publication,,,,,959682133323803231,,3/31/2016,,
Publication,,,,,964200931450858755,,7/12/2016,,
Publication,,,,,446404792503265144,,6/6/2016,,
Publication,,,,,90324152315439647,,7/1/2016,,
Publication,,,,,235344510399536223,,9/1/2016,,
Publication,,,,,764510470236364094,,11/1/2017,,
Publication,,,,,837256336036606070,,1/1/2016,,
Publication,,,,,916324813603363624,,1/1/2016,,
Publication,,,,,763333621501133310,,1/1/2016,,
Publication,,,,,435413053723542213,,7/8/2016,,
Publication,,,,,1151025142420855970,,11/1/2016,,
Publication,,,,,525224971033019325,,1/1/2016,,
Publication,,,,,1282560749064325240,,9/1/2016,,
Publication,,,,,1333488691240503448,,7/1/2016,,
Publication,,,,,1032525486242570143,,11/1/2016,,
Publication,,,,,471207364980530964,,11/1/2016,,
Publication,,,,,1002248051221401468,,12/1/2016,,
Publication,,,,,154745766047310791,,12/1/2016,,
Publication,,,,,783920629428163251,,1/1/2016,,
Publication,,,,,635729032281425260,,9/1/2016,,
Publication,,,,,222056873712266101,,12/1/2016,,
Publication,,,,,330281200641323539,,9/1/2016,,
Publication,,,,,1638311942201880134,,1/1/2016,,
Publication,,,,,617713403210956471,,10/1/2016,,
Publication,,,,,532202194323554061,,3/15/2016,,
Publication,,,,,308352491360081507,,1/1/2016,,
Publication,,,,,787152145154198632,,2/1/2017,,
Publication,,,,,255637333059548451,,6/26/2016,,
Publication,,,,,744091803533250744,,8/16/2016,,
Publication,,,,,352509555282049672,,9/1/2016,,
Publication,,,,,517028684135644161,,1/1/2016,,
Publication,,,,,1442058041523586421,,8/30/2016,,
Publication,,,,,693192491121940364,,8/26/2016,,
Publication,,,,,174501312491123215,,11/1/2016,,
Publication,,,,,108832760173526481,,9/1/2016,,
Publication,,,,,1445144419332340251,,8/1/2016,,
Publication,,,,,341202252226472440,,9/1/2016,,
Publication,,,,,90353516178144868,,11/1/2016,,
Publication,,,,,1525264855491224250,,8/1/2016,,
Publication,,,,,1414419048389227951,,9/1/2016,,
Publication,,,,,1327238041140413253,,10/1/2016,,
Publication,,,,,1093885913258710175,,6/1/2015,,
Publication,,,,,22303240622115251,,9/14/2017,,
Publication,,,,,1453360315752651414,,1/1/2017,,
Publication,,,,,294553291253424321,,9/14/2016,,
Publication,,,,,1535094270544231238,,1/1/2014,,
Publication,,,,,679192430389312277,,1/1/2014,,
Publication,,,,,1363343926411755753,,11/1/2016,,
Publication,,,,,692519582535364433,,4/25/2015,,
Publication,,,,,665260000234914125,,10/1/2016,,
Publication,,,,,1327656654063581820,,1/1/2016,,
Publication,,,,,970329701315593419,,9/1/2016,,
Publication,,,,,1471803929924195722,,1/1/2013,,
Publication,,,,,656141843013587140,,2/1/2017,,
Publication,,,,,1503101604435212063,,7/3/2013,,
Publication,,,,,1611150524107243140,,6/1/2013,,
Publication,,,,,1502121314748639835,,8/1/2013,,
Publication,,,,,551729441069152456,,1/1/2013,,
Publication,,,,,309265544548303910,,7/1/2013,,
Publication,,,,,1140082021423474304,,9/1/2016,,
Publication,,,,,1020765645155591344,,12/1/2016,,
Publication,,,,,963845330216661966,,11/28/2016,,
Publication,,,,,1462715658455826555,,1/1/2017,,
Author,116443818209714364,,,,462104431376974634,,,,
Sale,625034676218929764,31731125348173249,,,,13098211,8/14/2018,,
HasTopic,,,,626064050600120754,,11474,,,
Author,340947793158124567,,,,1332023064519452124,,,,
Includes,,,1314315120197156050,116485226534345214,,,,,
Sale,52917901592887834,222184293696822990,,,,12366011,8/16/2018,,
HasTopic,,,,642711157204113645,,16868955,,,
HasTopic,,,,1073608813829724662,,6663,,,
HasTopic,,,,978542384040172094,,2620373,,,
Author,266135868551051163,,,,1380074039324114494,,,,
Author,149302961314253448,,,,1273055217556365425,,,,
Author,1612941523357065104,,,,155550744756590550,,,,
HasTopic,,,,1344315619503162367,,1090,,,
Includes,,,1615340315424362057,233604108584985364,,,,,
HasTopic,,,,,1404352647621014025,1255173,,,
HasOrg,,,,,673204647282205501,368643,,,
Includes,,,1202482536733844323,1011048667457933945,,,,,
HasTopic,,,,1576696553557793553,,896308,,,
HasTopic,,,,1556155935338033264,,2329,,,
HasOrg,,,,,1542834430065923762,640652,,,
Sale,1270526672641022451,242128532544580040,,,,204018,10/4/2018,,
HasOrg,,,,,1224543866461549517,66623287,,,
Author,874140468987838915,,,951205155694637214,,,,,
HasTopic,,,,73063213329905860,,12541,,,
HasTopic,,,,1591303577854413601,,22911731,,,
Author,81727700092125305,,,,1560066052793400803,,,,
HasTopic,,,,932821369648923678,,5172864,,,
HasTopic,,,,1092145668036026139,,284899,,,
Author,61811359272147501,,,,1013493141635398270,,,,
Author,556444322351755461,,,,1110671157842443618,,,,
Sale,110570899408254426,751314324392219352,,,,4808925,10/10/2018,,
Includes,,,1615340315424362057,1540644401121414215,,,,,
Author,340631664243831136,,,,1111392343029354453,,,,
Author,576463121315716062,,,1539439613333845726,,,,,
Author,1226048451328193270,,,,232725311403923103,,,,
Author,307562915557248729,,,803023121232625670,,,,,
Author,1180718891371412443,,,410348072164814266,,,,,
Author,439725122128188321,,,,952823259422449446,,,,
HasTopic,,,,1159498345433014419,,20572541,,,
Author,441325148725322565,,,921645316594361240,,,,,
Author,634054246142322163,,,,1090584644515572586,,,,
HasOrg,,,,,608470242517922411,219563,,,
Author,1371212376192235712,,,,756412235620556023,,,,
Includes,,,1314315120197156050,884135310036404189,,,,,
Author,369370063627142227,,,413448025964275874,,,,,
HasTopic,,,,111560860314477304,,577,,,
Includes,,,1372844135435303981,669529390270126555,,,,,
HasTopic,,,,252806134402244441,,318452,,,
HasTopic,,,,1266590903848102753,,739302,,,
HasTopic,,,,214330175150151035,,3957904,,,
HasTopic,,,,341598515663525921,,61257,,,
Sale,117285351245662352,403934130975679254,,,,38695,8/25/2018,,
HasTopic,,,,1621849967094251204,,3558349,,,
Author,807135241152364790,,,,673204647282205501,,,,
Author,422515748587151363,,,609413501820234050,,,,,
HasTopic,,,,123315724616222127,,1229,,,
Author,620243153161373682,,,573903501833074549,,,,,
HasTopic,,,,,302628531646642027,4095199,,,
Author,495923260348075802,,,,910855940700617434,,,,
HasTopic,,,,,152242363244026010,202622,,,
Author,1410336194222426311,,,69125396564011950,,,,,
Author,453422481292308751,,,,849336510272291405,,,,
Author,1594296261462166098,,,,1451452451222349933,,,,
Author,872021925946844421,,,,401659462089222194,,,,
HasTopic,,,,1471394195262404324,,588676,,,
HasTopic,,,,,735469875782320156,1269709,,,
Sale,1588382561822007133,223125356609962106,,,,177,8/2/2018,,
